voltage,current,temperature,irradiance,power,fault_type
36.33,11.9,28.2,577.6,432.33,NORMAL
30.85,5.12,30.4,529.6,158.03,PARTIAL_SHADING
34.41,7.86,34.5,277.5,270.57,NORMAL
39.12,10.87,10.9,618.4,425.03,NORMAL
42.24,13.48,28.9,1200.0,569.65,NORMAL
35.6,13.25,22.1,679.9,471.7,NORMAL
36.47,11.86,24.9,693.3,432.42,NORMAL
29.07,6.09,5.4,631.3,177.04,PARTIAL_SHADING
34.71,9.34,38.6,739.4,324.06,DUST_ACCUMULATION
36.85,11.89,19.6,954.7,438.31,NORMAL
37.29,12.94,21.1,864.8,482.43,NORMAL
40.95,13.34,33.9,916.4,546.19,NORMAL
36.98,12.14,21.9,632.2,448.85,NORMAL
40.0,10.92,20.9,764.5,437.01,NORMAL
33.8,5.12,35.0,589.2,173.13,PARTIAL_SHADING
27.53,11.61,34.1,1099.1,319.59,PANEL_DEGRADATION
36.97,10.6,35.4,516.2,391.89,NORMAL
39.34,12.98,19.8,1095.6,510.47,NORMAL
33.49,11.23,52.4,900.3,376.08,INVERTER_FAULT
36.79,11.77,34.7,819.4,433.0,NORMAL
35.24,13.62,22.1,1054.7,479.9,NORMAL
36.99,12.06,17.0,731.5,446.17,NORMAL
36.08,9.38,39.0,611.4,338.52,NORMAL
37.74,12.36,49.6,812.0,466.48,NORMAL
40.21,11.19,24.9,868.0,450.0,NORMAL
33.95,11.46,19.1,958.2,388.96,PANEL_DEGRADATION
36.22,10.51,19.3,601.9,380.51,NORMAL
34.76,4.58,21.3,601.4,159.24,PARTIAL_SHADING
34.59,10.76,40.5,616.1,372.19,NORMAL
36.05,10.97,43.3,728.7,395.36,INVERTER_FAULT
35.3,11.17,26.8,478.5,394.51,NORMAL
41.83,14.52,16.3,1059.9,607.28,NORMAL
42.32,12.77,17.9,858.6,540.27,NORMAL
31.43,5.0,15.5,710.2,157.14,PARTIAL_SHADING
36.42,8.13,29.1,744.5,296.12,PARTIAL_SHADING
37.02,10.39,17.3,526.0,384.63,NORMAL
32.02,8.53,39.5,602.0,273.02,PARTIAL_SHADING
36.16,10.9,34.8,607.4,394.11,NORMAL
38.5,11.7,32.1,755.3,450.59,NORMAL
32.77,9.93,37.3,618.6,325.49,DUST_ACCUMULATION
40.68,14.47,25.9,942.0,588.77,NORMAL
38.83,12.62,13.6,811.6,490.02,NORMAL
34.36,4.76,38.8,456.1,163.73,PARTIAL_SHADING
35.05,11.37,60.0,903.0,398.64,PANEL_DEGRADATION
29.76,8.35,39.1,736.9,248.4,PANEL_DEGRADATION
43.37,12.39,6.3,1200.0,537.27,NORMAL
39.33,11.24,21.7,621.4,441.94,NORMAL
36.63,10.62,27.2,653.9,388.94,NORMAL
40.76,13.81,33.3,1072.7,562.67,NORMAL
35.09,11.22,33.5,667.6,393.85,NORMAL
35.79,10.91,41.6,645.6,390.46,NORMAL
